,idx,match,all,accuracy
0,0-100,69,128,0.5390625
1,100-200,129,278,0.46402877697841727
2,200-300,72,217,0.3317972350230415
3,300-400,54,165,0.32727272727272727
4,400-500,42,159,0.2641509433962264
5,>500,4,750,0.005333333333333333
