,idx,match,all,accuracy
0,0-100,57,107,0.5327102803738317
1,100-200,121,255,0.4745098039215686
2,200-300,83,202,0.41089108910891087
3,300-400,77,178,0.43258426966292135
4,400-500,57,149,0.3825503355704698
5,>500,253,815,0.3104294478527607
