,idx,match,all,accuracy
0,0-100,59,107,0.5514018691588785
1,100-200,99,255,0.38823529411764707
2,200-300,72,202,0.3564356435643564
3,300-400,64,178,0.3595505617977528
4,400-500,53,149,0.35570469798657717
5,>500,215,815,0.26380368098159507
