,idx,match,all,accuracy
0,0-100,68,135,0.5037037037037037
1,100-200,125,271,0.4612546125461255
2,200-300,75,205,0.36585365853658536
3,300-400,68,181,0.3756906077348066
4,400-500,50,139,0.3597122302158273
5,>500,3,766,0.0039164490861618795
