,idx,match,all,accuracy
0,0-100,72,129,0.5581395348837209
1,100-200,130,272,0.47794117647058826
2,200-300,93,211,0.44075829383886256
3,300-400,84,198,0.42424242424242425
4,400-500,52,142,0.36619718309859156
5,>500,262,754,0.34748010610079577
